Keyword 	Description
abstract 	A non-access modifier. Used for classes and methods: An abstract class cannot be used to create objects (to access it, it must be inherited from another class). An abstract method can only be used in an abstract class, and it does not have a body. The body is provided by the subclass (inherited from)
assert 	For debugging
boolean 	A data type that can only store true and false values - DIFF
break 	Breaks out of a loop or a switch block - IDENTICAL
byte 	A data type that can store whole numbers from -128 and 127 - DIFF
case 	Marks a block of code in switch statements - IDENTICAL
catch 	Catches exceptions generated by try statements - DIFF
char 	A data type that is used to store a single character - IDENTICAL
class 	Defines a class - DIFF
continue 	Continues to the next iteration of a loop - IDENTICAL
const 	Defines a constant. Not in use - use final instead - IDENTICAL
default 	Specifies the default block of code in a switch statement - IDENTICAL
do 	Used together with while to create a do-while loop - IDENTICAL
double 	A data type that can store whole numbers from 1.7e−308 to 1.7e+308 - IDENTICAL
else 	Used in conditional statements - IDENTICAL 
enum 	Declares an enumerated (unchangeable) type - IDENTICAL
exports 	Exports a package with a module. New in Java 9 - DIFF
extends 	Extends a class (indicates that a class is inherited from another class) - DIFF
final 	A non-access modifier used for classes, attributes and methods, which makes them - DIFF non-changeable (impossible to inherit or override) - DIFF
finally 	Used with exceptions, a block of code that will be executed no matter if there is an exception or not - DIFF
float 	A data type that can store whole numbers from 3.4e−038 to 3.4e+038 - IDENTICAL
for 	Create a for loop - IDENTICAL
goto 	Not in use, and has no function - DIFF
if 	Makes a conditional statement - IDENTICAL
implements 	Implements an interface - DIFF
import 	Used to import a package, class or interface - DIFF
instanceof 	Checks whether an object is an instance of a specific class or an interface - DIFF
int 	A data type that can store whole numbers from -2147483648 to 2147483647 - IDENTICAL
interface 	Used to declare a special type of class that only contains abstract methods - DIFF
long 	A data type that can store whole numbers from -9223372036854775808 to 9223372036854775808 - IDENTICAL
module 	Declares a module. New in Java 9 - DIFF
native 	Specifies that a method is not implemented in the same Java source file (but in another language)
new 	Creates new objects - DIFF
package 	Declares a package - DIFF
private 	An access modifier used for attributes, methods and constructors, making them only accessible within the declared class - DIFF
protected 	An access modifier used for attributes, methods and constructors, making them accessible in the same package and subclasses - DIFF
public 	An access modifier used for classes, attributes, methods and constructors, making them accessible by any other class - DIFF
requires 	Specifies required libraries inside a module. New in Java 9 - DIFF
return 	Finished the execution of a method, and can be used to return a value from a method - IDENTICAL 
short 	A data type that can store whole numbers from -32768 to 32767 - IDENTICAL
static 	A non-access modifier used for methods and attributes. Static methods/attributes can be accessed without creating an object of a class - DIFF
strictfp 	Restrict the precision and rounding of floating point calculations - DIFF
super 	Refers to superclass (parent) objects - DIFF
switch 	Selects one of many code blocks to be executed - IDENTICAL
synchronized 	A non-access modifier, which specifies that methods can only be accessed by one thread at a time - DIFF
this 	Refers to the current object in a method or constructor - DIFF
throw 	Creates a custom error - DIFF
throws 	Indicates what exceptions may be thrown by a method - DIFF
transient 	A non-accesss modifier, which specifies that an attribute is not part of an object's persistent state  - DIFF
try 	Creates a try...catch statement - DIFF
var 	Declares a variable. New in Java 10 - DIFF
void 	Specifies that a method should not have a return value - IDENTICAL
volatile 	Indicates that an attribute is not cached thread-locally, and is always read from the - IDENTICAL  "main memory"
while 	Creates a while loop - IDENTICAL

Note: true, false, and null are not keywords, but they are literals and reserved words that cannot be used as identifiers.
